| 2016_May_24 | Tremors | Mike, Jay | http://redlettermedia.com/tremors-review/, https://www.youtube.com/watch?v=PK7-tBuEoq4, https://soundcloud.com/redlettermedia/tremors-review, https://twitter.com/redlettermedia/status/735102146069303297
| 2016_Jun_07 | Escape from New York | Mike, Jay | http://redlettermedia.com/escape-from-new-york-review/, https://www.youtube.com/watch?v=ff2YU6XtZ9o, https://soundcloud.com/redlettermedia/review-escape-from-new-york, https://twitter.com/redlettermedia/status/740222506867494912
| 2016_Jun_19 | Independence Day | Mike, Jay | http://redlettermedia.com/independence-day-1996-review/, https://www.youtube.com/watch?v=4_LJGPph4SM, https://twitter.com/redlettermedia/status/744675648589946881
| 2016_Jul_03 | Eraserhead | Jay, Josh | http://redlettermedia.com/eraserhead-review/, https://www.youtube.com/watch?v=UmvNJ3YuH9o, https://soundcloud.com/redlettermedia/review-eraserhead, https://twitter.com/redlettermedia/status/749745188172509184
| 2016_Jul_12 | Ghostbusters (1984) | Mike, Jay | http://redlettermedia.com/ghostbusters-1984-review/, https://www.youtube.com/watch?v=8PS7CgXHxps, https://twitter.com/redlettermedia/status/752905779317919745
| 2016_Jul_22 | Mad Max 2: The Road Warrior | Jay, Rich | http://redlettermedia.com/mad-max-2-the-road-warrior-review/, https://www.youtube.com/watch?v=bYLk6nMB23o, https://soundcloud.com/redlettermedia/road-warrior-review-extended-audio-untitled-mp3, https://twitter.com/redlettermedia/status/756667249927163904
| 2016_Sep_02 | The Blair Witch Project | Mike, Jay | http://redlettermedia.com/the-blair-witch-project-review/, https://www.youtube.com/watch?v=nCjbevNlLXE, https://soundcloud.com/redlettermedia/the-blair-witch-project-review-extended-untitled-mp3, https://twitter.com/redlettermedia/status/771752278394941440
| 2016_Sep_10 | Blade | Jay, Jack | http://redlettermedia.com/blade-review/, https://www.youtube.com/watch?v=CQZY5sEr31M, https://soundcloud.com/redlettermedia/blade-review, https://twitter.com/redlettermedia/status/774610135452758016
| 2016_Oct_13 | The Gate | Jay, Josh | http://redlettermedia.com/the-gate-review/, https://www.youtube.com/watch?v=3lEpSofvkdo, https://twitter.com/redlettermedia/status/786567284777037825
| 2016_Oct_25 | Dawn of the Dead | Mike, Jay | http://redlettermedia.com/dawn-of-the-dead-review/, https://www.youtube.com/watch?v=EdTNuZWA4mY, https://twitter.com/redlettermedia/status/790908783279034369
| 2016_Nov_09 | Land of the Dead and the Social Commentary of George Romero | Mike, Jay | http://redlettermedia.com/land-of-the-dead-and-the-social-commentary-of-george-romero-review-extras/, https://www.youtube.com/watch?v=fOhGxeQkj8g, https://twitter.com/redlettermedia/status/796498309703757824
| 2016_Jan_09 | True Stories | Jay, Josh | http://redlettermedia.com/true-stories-review/, https://www.youtube.com/watch?v=m_vze4K-x5g, https://twitter.com/redlettermedia/status/818481763735498753
| 2017_Feb_12 | Starship Troopers | Mike, Jay | http://redlettermedia.com/starship-troopers-review/, https://www.youtube.com/watch?v=OkEdyq3UE5M, https://twitter.com/redlettermedia/status/830927480567377920
| 2017_Apr_01 | Horse Ninja | Mike, Rich, Freddie Williams III | http://redlettermedia.com/horse-ninja-review/, https://www.youtube.com/watch?v=OEl9sUmTqCQ, https://twitter.com/redlettermedia/status/848148351086448640
| 2017_Apr_06 | Demolition Man | Rich, Jack | http://redlettermedia.com/demolition-man-review/, https://www.youtube.com/watch?v=NUPJBL1nGW4, https://twitter.com/redlettermedia/status/850072624982106113
