Video								Transcript?
___________________________________________________________________________

Fri-Jay the 13th(Part 1)					Yes		
Fri-Jay the 13th(Part 2)					Yes	
Breath of the Jay (Part 1)					Yes	
Breath of the Jay (Part 2)					Yes	
Ni OH MY GOD!!! (Part 1)					No	
Ni OH MY GOD!!! (Part 2)					No	
I'd Warhammer in the Morning					No	
I'd Warhammer in the Evening					No	
Chatting with Edmund McMillen					No
Old Ghoul (Halloween Forever)					No
Hide and Seek (Dead by Daylight)				No
The "J's" (part 1)						No
The "J's" (part 2)						No
Slay the Orcs!!! (Orcs Must Die) pt.2				No
Slay the Orcs!!! (Orcs Must Die) pt.1				No
BOOring (GhostControl Inc. Part 1)				No
BOOring (GhostControl Inc. Part 2)				No
Rocket LeagueButt()()						No
DoOMButt()()							No
Dancing Demons							No
Are you sick of XCOM 2 yet? (part 1)				No
Are you sick of XCOM 2 yet? (part 2)				No
Are you sick of XCOM 2 yet? (part 3)				No
Are you sick of XCOM 2 yet? (part 4)				No
XCOM on my face (part 1)					No
XCOM on my face (part 2)					No
XCOM on my face (part 3)					No
Smooth Criminals (The Swindle Part 1)				Yes
Smooth Criminals (The Swindle Part 2)				Yes
Smooth Criminals (The Swindle Part 3)				Yes
Brutal Doom and BS (Part 1)					No
Brutal Doom and BS (Part 2)					No
Super Ultra Mega Jay's Movie Giveaway				Yes
Death of the Party (Party Hard Part 1)				Yes			
Manhunt, no pun, just Manhunt.					Yes
Lakeview Cabin Fever (Part 3)					Yes
Rocket League Challenge (Part 1)				No
Rocket League Challenge (Part 2)				No
Rocket League Challenge (Part 3)				No
INK!								No
Fingered							Yes
Mute Crimson+ (Part 1)						No
Mute Crimson+ (Part 2)						No
Rocket League - WooHoo (Part 1)					No
Rocket League - WooHoo (Part 2)					No
Rocket League - WooHoo (Part 3)					No
Faster Invisible Than Light					Yes
Star Trek - The Point & Click (Part 1)(ReallY)			No
Dead Rising aka Farting Around (Part 1)				No
Dead Rising aka Farting Around (Part 2)				No
Dead Rising aka Farting Around (Part 3)				No
Dead Rising and DareDevil Spoilers (Part 4)			Yes
Rich's Stolen GTAV						No
Rich's Bloodborne Audio Debacle (Part 2)			No
Zone in your Enders 2 (Part 1)					No
Zone in your Enders (Part 2)					No
Zone in your Enders (Part 3)					No
Ori and the Blind Forest					No
Hotline Miami 2 - My Hammy					No
Hand of Fate for WHAT!?! (Part 1)				Yes
Hand of Fate for WHAT!?! (Part 2)				No
Homeworld for WHAT?!? (Part 2)					Yes
Homeworld for WHAT?!? (Part 3)					Yes
Chat Finger Death Punch						No
Chat-lunky (Part 1)						No
Chat-lunky (Part 2)						No
Necrodancer... man.						Yes
Tron 2.0 Killer app... man.					No
Leisure Suit Larry 2 - we gonna get some (Part 1)		Yes
FTL - The Redemption (Part 1)					Yes
FTL - The Redemption (Part 2)					Yes
FTL - The Redeption (Part 3)					No
Arkham Plants Vs ZOmbies					Yes
Invisible Inc. -then Tay Sway					Yes
Crypt of the Necrodancer is a good game				No
Spelunky is a fun and good game.				No
MS PAINT Game Gift Giveaway (Part 01) The Preamble		Yes
MS PAINT Game Gift Giveaway (Part 2)				No
MS PAINT Game Gift Giveaway (Part 3)				No
