| 2014_May_21 | Jay says Mike was in the stream earlier, but didn't say anything and was trying to distract Rich | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=10m03s
| 2014_May_21 | Jay, Jack, and Rich say Best of the Worst will never be livestreamed because it would be too boring unedited | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=29m04s
| 2014_May_21 | Rich says Mike hates video games, was in the stream earlier harassing Rich | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=110m01s
| 2014_May_21 | Rich says Mike was in the stream earlier, but was just there to annoy Rich | SOnic 02 | youtube.com/watch?v=a91i9G6Vd64&t=150m04s
| 2014_May_28 | Jack says Rich drove to Milwaukee just to be in Poopagain, Rich's character the police captain, that his last name is Kaptane | JimmyJams Vs Jewbbi Jibs | twitch.tv/videos/49132095?t=20m37s
| 2014_May_28 | Jack and Rich discuss average day at the studio, various projects, etc. | JimmyJams Vs Jewbbi Jibs | twitch.tv/videos/49132095?t=33m15s
| 2014_May_28 | Jack says he met Josh while filming music videos for his band, Josh knew Jay, Jack says he doesn't call him Wizard, Jessi/Rich agree | JimmyJams Vs Jewbbi Jibs | twitch.tv/videos/49132095?t=37m26s
| 2014_May_28 | Gorilla Interrupted: II? Jay says Mike has thought about it (involves kangaroos, kidnapping) | Jet Grind Audio Fixed | youtube.com/watch?v=Q2gBwS1DUKk&t=15m49s
| 2014_Jun_01 | Jack says Jay tried to get GameStation going on Machinima, didn't get a lot of views, Jack says he does all editing | Risk of Jack Solo Stream Part 1 | youtube.com/watch?v=9MErAkmwEb4&t=10m20s
| 2014_Jun_01 | Jack explains how he and his cousin made a viral video for funny or die | Risk of Jack Solo Stream Part 2 | youtube.com/watch?v=y5Ffjc9uAoQ&t=5m24s
| 2014_Jun_01 | Jack says Mike has an encyclopedic knowledge of Star Trek, Rich says Mike is a Trekkie | XCOM: the New PC-in-ing (Part 3) | youtube.com/watch?v=l5aWyL30n64&t=53m13s
| 2014_Jun_04 | Jack says Mike gives negative fucks about video games | Dark Sauls (with Rich, Jack & Jay) Part 2 | youtube.com/watch?v=2jv_i3iW92Q&t=3m48s
| 2014_Jun_04 | Jack, Rich, and Jay say they (as well as Mike) feel miserable watching movies for Wheel of the Worst, until they landed on SOS | Dark Sauls (with Rich, Jack & Jay) Part 3 | youtube.com/watch?v=-io_OXwcv_8&t=38m05s
| 2014_Jun_04 | Jay discusses Josh, why he's called Phil and The Wizard | Dark Sauls (with Rich, Jack & Jay) Part 4 | youtube.com/watch?v=006RqfW3zcg&t=4m09s
| 2014_Jun_11 | Jack, Jay, Rich, and Jessi say Best of the Worst will never be livestreamed | FTL (Rich, Jack, Jay) | youtube.com/watch?v=og0M0CjCA7g&t=145m27s
| 2014_Jun_11 | Jay explains how the wheel works, they spin for movies, then watch all movies straight through, uninterrupted | FTL (Rich, Jack, Jay) | youtube.com/watch?v=og0M0CjCA7g&t=150m11s
| 2014_Jun_11 | Jack clarifies to chat that PreRec is Game Station 2.0 (Jay says it's 3.0) | FTL (Rich, Jack, Jay) | youtube.com/watch?v=og0M0CjCA7g&t=151m07s
| 2014_Jun_22 | Jack says all BotW movies are watched in a row (12-to-12 event), takes a week to get the edit right | Binding od Eve dies | twitch.tv/videos/48894717?t=27m23s
| 2014_Jun_22 | Jack says after Mike and Jay and Josh, Rich was the last RLM guy he got to know well | TF2 with all these ass holes | twitch.tv/videos/48893533?t=30m45s
| 2014_Jun_22 | Jack describes the goings-on in making a PreRec video game review, says it takes about a week | TF2 with all these ass holes | twitch.tv/videos/48893533?t=1h02m26s
